name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Pakkil, kottayam, kerala",2022-03-01,34,22,28,41.7,22,29.7,21.7,71.9,0,0,0,,0,0,16.9,18.4,272.2,1011,26.9,6.2,269.9,20.5,10,10,2022-03-01T06:38:05,2022-03-01T18:34:40,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,VOCI,43355099999,remote,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-02,35,21,27.6,35.9,21,27.8,18.5,64.6,0,0,0,,0,0,20.2,16.6,77.1,1010,39.1,5.4,263.4,19.2,10,10,2022-03-02T06:37:38,2022-03-02T18:34:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-03,35,18.9,27.4,35.4,18.9,27.6,17.8,62.6,0,0,0,,0,0,24.1,14.8,316.7,1009.1,35.1,5.5,277.2,19.9,10,10,2022-03-03T06:37:10,2022-03-03T18:34:47,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-04,33.4,20,27.2,39.5,20,28.2,19.2,64.3,0,0,0,,0,0,15.8,14.8,236.7,1009.8,50.2,5.2,261.3,19,9,10,2022-03-04T06:36:41,2022-03-04T18:34:49,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-05,33.7,22,27.8,42.3,22,29.9,22.1,73.1,0,0,0,,0,0,15.8,16.6,221,1009.7,36.6,5.1,281.4,20.4,10,10,2022-03-05T06:36:12,2022-03-05T18:34:52,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-06,33.1,24,28,41,24,30.2,23.2,77.8,1.4,100,20.83,rain,0,0,15.8,18.4,248.5,1009,44.9,5,250.2,18.3,9,10,2022-03-06T06:35:43,2022-03-06T18:34:54,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-07,33.9,23,28.4,41.7,23,31.4,23.5,76.9,1.6,100,12.5,rain,0,0,15.8,14.8,229.9,1008.8,45.4,5.3,283.9,21.6,9,30,2022-03-07T06:35:13,2022-03-07T18:34:55,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-08,34.4,24,28.4,41.8,24,31.2,23.5,76.9,24,100,8.33,rain,0,0,17.3,16.6,305.2,1009.3,53.7,5.1,240.7,20.8,8,30,2022-03-08T06:34:43,2022-03-08T18:34:56,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-09,34.2,24,28.5,41.5,24,31.3,23.4,75.7,25,100,4.17,rain,0,0,15.5,16.6,273.5,1009.1,38.6,5.2,284.6,24.8,10,30,2022-03-09T06:34:12,2022-03-09T18:34:57,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43353099999,VOCI,43355099999,43354099999,43352099999"
"Pakkil, kottayam, kerala",2022-03-10,34.9,24,28.5,41.6,24,31.2,23.3,76.3,0.7,100,12.5,rain,0,0,16.9,16.2,252.1,1008.9,30.8,6.1,287,24.9,10,10,2022-03-10T06:33:41,2022-03-10T18:34:57,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43353099999,VOCI,43355099999,43354099999,remote,43352099999"
"Pakkil, kottayam, kerala",2022-03-11,35.8,23,28.5,44.7,23,31,23.1,75.1,0,0,0,,0,0,17.6,22.3,277.1,1009.3,27.3,5.1,289.6,25.2,10,30,2022-03-11T06:33:10,2022-03-11T18:34:58,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,ATVK,VOCI,43355099999,43354099999,43352099999"
