name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"23.077302, 76.851043",2022-03-01,28.6,15,21.9,27.8,15,21.7,7.8,42.2,0,0,0,,0,0,31.7,14.8,11.2,1016.5,0.4,9.3,237.4,18.1,9,10,2022-03-01T06:44:28,2022-03-01T18:25:50,0.95,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-02,30,14.6,22.8,28.2,14.6,22.4,3.2,29.7,0,0,0,,0,0,24.1,13.3,39.1,1016,1,10.2,252.2,18.1,9,10,2022-03-02T06:43:36,2022-03-02T18:26:17,0,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-03,31,16.1,24.1,29.2,16.1,23.6,6.3,33.7,0,0,0,,0,0,22,12.2,80.5,1014.7,33.5,11.6,251.2,18.1,9,10,2022-03-03T06:42:44,2022-03-03T18:26:45,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-04,30,15,23.1,28.7,15,22.8,8.4,41.9,0,0,0,,0,0,38.5,15.8,319,1015.3,5,9.3,252.6,18.2,9,10,2022-03-04T06:41:52,2022-03-04T18:27:11,0.05,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-05,29,15,22.3,27.6,15,21.9,6.1,37.6,0,0,0,,0,0,36.4,16.2,0.2,1015.2,0,11,258.3,18.7,9,10,2022-03-05T06:40:59,2022-03-05T18:27:38,0.08,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-06,31,14.1,23.3,29.1,14.1,22.8,4.3,31.1,0,0,0,,0,0,17.3,16.6,18.2,1014.1,7,10.1,261.8,18.9,9,10,2022-03-06T06:40:05,2022-03-06T18:28:04,0.11,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-07,32,19,25.1,30.1,19,24.5,5.3,30.1,0.2,100,4.17,rain,0,0,25.6,18.4,110.8,1013.7,48.7,11.6,272.4,20.7,9,10,2022-03-07T06:39:11,2022-03-07T18:28:30,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-08,29.8,18,23.9,28.5,18,23.7,10.4,44.1,0,0,0,,0,0,19.8,14.8,132.3,1014.7,42.4,7.9,234.7,20.3,9,10,2022-03-08T06:38:16,2022-03-08T18:28:55,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-09,31.3,15.6,23.8,29.9,15.6,23.4,10.6,46.2,0.3,100,4.17,rain,0,0,39.2,20.5,223.5,1014,30.7,9.2,248,21.4,9,10,2022-03-09T06:37:21,2022-03-09T18:29:20,0.21,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-10,31,15,23.9,29.3,15,23.5,10.5,46.4,0,0,0,,0,0,26.6,13,8.5,1013.5,16.7,8.7,261.2,22.5,9,10,2022-03-10T06:36:26,2022-03-10T18:29:45,0.25,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-11,31.1,17,24.6,29.4,17,24.2,9,39.5,0,0,0,,0,0,29.5,22.3,8.6,1013.7,17.2,10.3,261.9,22.7,9,10,2022-03-11T06:35:30,2022-03-11T18:30:10,0.27,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-12,32.1,16.5,25,30.1,16.5,24.3,5.2,31.3,0,0,0,,0,0,20.5,13,343.9,1013.3,0,11,272.6,23.6,10,10,2022-03-12T06:34:34,2022-03-12T18:30:34,0.31,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-13,33.5,16.3,26.3,31.3,16.3,25.4,5.4,29.7,0,0,0,,0,0,17.6,14.8,22.8,1013.1,0,11.9,273.8,23.6,10,10,2022-03-13T06:33:37,2022-03-13T18:30:58,0.34,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-14,35,18,27.8,32.6,18,26.8,7.3,32,0,0,0,,0,0,16.6,16.6,325.3,1012.6,0.2,10.5,270.5,23.3,10,10,2022-03-14T06:32:41,2022-03-14T18:31:22,0.37,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-15,37,19.8,29,34.6,19.8,27.9,6.3,26.5,0,0,0,,0,0,37.1,29.5,297.6,1010.3,10.5,10.1,272,23.4,10,10,2022-03-15T06:31:44,2022-03-15T18:31:46,0.4,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-16,38,19.7,29.7,35.1,19.7,28.3,3.2,20.8,0,0,0,,0,0,33.5,22.3,298.2,1008.6,44.9,12.2,275.4,24,10,10,2022-03-16T06:30:46,2022-03-16T18:32:09,0.43,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-17,37.9,19,29.6,35.1,19,28.2,4.3,23.1,0,0,0,,0,0,40.7,25.9,307,1008.1,27.1,11.9,276.3,24,10,10,2022-03-17T06:29:49,2022-03-17T18:32:32,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-18,38,20,30.1,34.9,20,28.8,5.9,24.3,0,0,0,,0,0,26.3,27.7,342.9,1007.5,28.1,11.6,277.7,24,10,10,2022-03-18T06:28:51,2022-03-18T18:32:55,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-19,36.3,22,29.4,34.7,22,28.5,8.6,30.6,0,0,0,,0,0,22,22.3,329.6,1007,33.8,9.1,276,23.9,10,10,2022-03-19T06:27:53,2022-03-19T18:33:18,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42667099999,remote,42665099999"
"23.077302, 76.851043",2022-03-20,37.8,20.4,29.7,34.8,20.4,28.3,3.6,22,0,0,0,,0,0,32,15.8,291.8,1006.6,7.6,10.5,278.4,24,10,10,2022-03-20T06:26:55,2022-03-20T18:33:41,0.57,Clear,Clear conditions throughout the day.,clear-day,"VABP,42667099999,remote,42665099999"
